Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Sierra Leone,Africa,0.483,25.31,7.79,51.79,0.5808988764044944,0.24287886467308664,0.06845991561181435,0.5652659500209408,0.36437590167758405,Medium Risk
Singapore,Asia-Pasific,0.231,98.52,71.43,79.93,0.8640449438202247,0.9849974657881398,0.7397679324894516,0.9581181069384336,0.8867321122590623,Low Risk
Slovakia,Europe,0.262,92.36,83.12,65.44,0.8292134831460674,0.9225544855549924,0.8630801687763714,0.7558285634510679,0.8426691752321248,Low Risk
Slovenia,Europe,0.283,74.93,59.74,69.74,0.80561797752809,0.7458692346680184,0.6164556962025317,0.815859276839313,0.7459505463094882,Low Risk
Solomon Islands,Asia-Pasific,0.483,7.08,2.6,21.1,0.5808988764044944,0.058084135833755705,0.013713080168776372,0.13681418400111683,0.19737756910203585,High Risk
Somalia,Africa,0.483,17.25,18.18,51.79,0.5808988764044944,0.16117587430309174,0.1780590717299578,0.5652659500209408,0.3713499431146212,Medium Risk
South Africa,Africa,0.417,78.46,36.36,49.24,0.655056179775281,0.7816523061327927,0.36983122362869203,0.5296663409186094,0.5840515126138438,Medium Risk
South Korea,Asia-Pasific,0.269,98.52,68.83,75.76,0.8213483146067415,0.9849974657881398,0.7123417721518988,0.8999022755828563,0.8546474570324092,Low Risk
South Sudan,Africa,0.483,5.75,1.3,51.79,0.5808988764044944,0.044602128737962494,0.0,0.5652659500209408,0.2976917387908494,High Risk
Spain,Europe,0.21,98.52,88.31,72.21,0.8876404494382023,0.9849974657881398,0.9178270042194093,0.8503420354600026,0.9102017387264385,Low Risk
Sri Lanka,Asia-Pasific,0.745,58.65,44.16,43.02,0.2865168539325843,0.580841358337557,0.4521097046413502,0.44283121597096187,0.4405747832206134,Medium Risk
Sudan,Africa,0.483,35.03,11.69,25.5,0.5808988764044944,0.341409021794222,0.10959915611814346,0.19824096049141418,0.30753700370206855,High Risk
Suriname,South America,0.483,31.2,22.08,51.5,0.5808988764044944,0.3025848960973137,0.2191983122362869,0.5612173670249895,0.41597486294077113,Medium Risk
Sweden,Europe,0.21,94.55,84.42,81.51,0.8876404494382023,0.9447541814495691,0.8767932489451478,0.9801759039508585,0.9223409459459445,Low Risk
Switzerland,Europe,0.172,86.97,76.62,82.93,0.9303370786516854,0.8679168778509884,0.7945147679324895,1.0,0.8981921811087908,Low Risk
Syria,Asia-Pasific,0.483,22.14,15.58,33.4,0.5808988764044944,0.21074505828687276,0.15063291139240506,0.30852994555353896,0.3127016979093278,High Risk
Tajikistan,Asia-Pasific,0.483,17.01,10.39,34.56,0.5808988764044944,0.1587430309173847,0.09588607594936709,0.3247242775373447,0.29006306520214775,High Risk
Tanzania,Africa,0.731,90.58,24.68,26.96,0.302247191011236,0.9045108971109984,0.24662447257383965,0.2186234817813765,0.41800151061936264,Medium Risk
Thailand,Asia-Pasific,0.445,86.5,64.94,56.63,0.6235955056179775,0.8631525595539787,0.6713080168776372,0.632835404160268,0.6977228715524654,Low Risk
Timor-Leste,Asia-Pasific,0.483,4.26,40.26,51.79,0.5808988764044944,0.029498226051697916,0.41097046413502114,0.5652659500209408,0.3966583791530386,Medium Risk
Togo,Africa,0.483,33.19,40.26,51.79,0.5808988764044944,0.3227572225038013,0.41097046413502114,0.5652659500209408,0.4699731282660644,Medium Risk
Tonga,Asia-Pasific,0.483,20.95,23.38,43.4,0.5808988764044944,0.19868220983274198,0.23291139240506328,0.44813625575876015,0.36515718360026495,Medium Risk
Trinidad and Tobago,North America,0.483,22.18,33.77,52.6,0.5808988764044944,0.2111505321844906,0.34251054852320684,0.5765740611475637,0.42778350456493897,Medium Risk
